"row","col"
49,12
65,193
153,84
74,18
146,20
122,125
49,116
128,5
47,143
24,103
71,153
100,76
89,5
165,132
110,179
20,35
154,32
114,42
111,121
131,74
41,37
89,58
27,191
164,62
109,37
5,131
162,8
92,16
104,47
3,132
58,52
42,104
24,130
158,95
43,141
143,117
150,150
58,118
136,90
36,75
68,188
146,77
109,100
92,116
4,158
178,77
99,64
177,172
154,14
114,10
6,99
134,187
130,128
116,38
3,112
118,153
149,146
2,9
102,168
138,170
40,156
5,71
33,180
177,97
103,5
109,62
73,99
157,52
76,192
9,74
35,167
16,4
101,88
69,160
118,54
130,165
82,104
152,37
113,111
146,172
69,136
110,77
104,134
40,101
149,76
57,11
100,59
42,12
146,45
91,186
13,15
54,119
83,57
32,178
60,124
29,136
81,120
108,49
121,24
85,126
126,18
171,153
112,58
72,134
29,171
166,184
1,41
141,109
133,54
55,47
144,84
43,22
42,177
42,147
97,100
157,76
25,18
115,188
32,107
81,86
14,142
111,155
6,144
175,155
43,136
165,9
113,145
113,44
31,49
162,2
94,126
6,156
38,150
95,152
6,32
84,166
15,171
34,122
170,44
12,98
128,183
154,123
41,150
66,155
56,186
152,172
98,83
25,152
92,106
107,74
61,120
14,162
162,65
124,100
95,43
32,2
155,66
138,163
28,177
118,163
37,11
138,114
113,157
5,88
35,153
78,66
14,12
156,81
122,15
97,32
127,149
31,113
43,188
180,69
81,152
27,144
30,121
180,134
100,77
75,62
145,93
62,147
13,60
126,170
124,167
63,101
49,4
61,118
116,21
1,34
145,45
161,128
28,139
2,117
159,191
136,154
127,51
3,35
13,21
12,129
158,43
51,116
95,88
165,50
47,18
56,95
144,64
10,161
153,123
3,7
82,185
28,100
93,136
57,143
84,30
118,150
61,80
102,160
171,89
150,66
154,188
54,67
55,193
54,172
58,17
173,136
165,148
43,71
85,137
162,142
153,132
102,136
142,17
49,98
139,143
156,178
18,175
55,171
170,170
36,117
148,11
71,82
113,13
27,19
94,164
133,46
86,3
148,57
114,119
169,68
139,39
38,86
106,8
127,126
151,154
90,160
115,181
105,17
11,61
147,21
36,15
170,53
59,117
113,16
30,18
108,22
149,25
47,65
105,58
88,102
114,12
135,127
142,41
12,75
51,170
10,112
121,87
89,80
37,39
163,101
162,5
27,185
46,117
31,7
91,11
100,75
120,97
53,132
24,120
166,167
148,65
123,88
92,19
33,89
93,36
36,22
45,166
96,152
102,4
150,45
172,156
135,49
108,121
5,81
159,67
160,116
167,6
141,50
122,119
30,171
54,151
2,34
28,107
131,17
161,83
111,44
9,150
54,25
138,33
115,26
82,119
153,111
108,140
73,28
147,183
79,85
46,63
131,10
150,24
61,50
20,186
170,179
98,39
17,127
82,11
174,86
17,175
94,109
74,34
165,121
173,58
178,188
179,40
74,172
48,13
162,86
68,62
90,14
61,162
161,23
110,41
116,88
108,105
147,124
70,19
89,97
30,144
106,114
103,147
89,14
2,145
166,30
137,172
75,164
134,156
31,189
142,86
47,5
169,190
138,34
49,22
22,168
1,125
121,35
132,115
67,102
53,159
166,189
125,46
59,148
69,173
170,15
148,146
162,93
87,6
57,13
148,10
137,107
27,94
174,168
174,150
3,27
95,95
146,31
138,31
168,133
84,149
53,115
101,100
157,114
137,16
168,106
87,60
76,144
110,164
119,100
107,55
54,31
57,108
27,80
80,19
110,93
156,172
15,5
102,176
23,115
61,144
83,65
10,82
141,45
62,32
102,134
1,60
11,37
109,46
26,27
74,164
123,185
79,168
81,107
111,138
136,179
100,75
91,37
25,163
24,25
80,168
108,146
16,64
3,1
56,20
149,91
10,170
85,59
135,136
147,153
157,23
45,112
170,82
119,13
174,98
152,105
93,57
158,42
107,104
173,193
42,173
98,95
167,91
52,47
53,114
171,134
171,130
26,163
97,52
117,31
134,97
58,133
23,9
170,63
169,149
173,90
85,94
33,99
139,4
104,107
173,44
142,47
130,23
45,135
126,41
35,80
156,12
45,143
144,93
173,118
136,166
102,115
102,92
122,161
95,155
165,140
10,65
123,61
75,83
151,73
161,121
15,179
68,95
60,183
103,179
138,92
99,182
173,10
84,173
120,120
176,12
8,47
96,70
131,140
105,116
176,168
75,159
141,34
103,93
18,149
103,93
85,70
133,135
31,18
56,122
20,7
103,4
8,134
19,97
114,135
10,161
61,123
12,185
163,132
180,100
112,171
32,53
54,38
162,37
129,123
7,133
11,74
77,107
101,15
143,99
37,109
142,72
90,159
177,65
156,85
59,141
118,54
17,65
178,113
39,76
162,192
163,78
148,134
8,91
20,2
156,170
110,109
97,139
46,113
85,185
98,85
62,56
69,90
170,165
12,12
3,98
122,38
18,150
178,90
175,16
136,185
115,40
30,42
148,44
51,29
162,148
21,158
180,187
83,68
125,43
82,78
40,23
24,175
170,146
157,144
162,26
22,40
132,72
145,180
119,2
148,186
179,170
39,98
9,127
63,10
19,190
21,171
107,72
98,164
116,162
135,106
177,85
68,56
173,97
115,142
65,153
92,69
81,124
164,120
162,74
155,182
154,111
57,60
35,128
13,36
98,143
41,42
171,59
92,91
138,117
96,174
110,135
27,130
97,36
65,16
78,119
127,32
58,71
28,193
32,185
105,123
158,11
115,182
165,11
98,179
152,186
172,60
34,19
125,122
28,182
48,121
18,125
158,19
150,85
154,114
49,176
95,65
104,103
30,114
72,186
179,29
175,8
58,67
166,145
99,18
65,163
158,47
175,18
4,57
156,59
41,97
97,116
20,139
142,119
137,177
92,100
159,87
152,130
150,83
11,161
107,105
147,103
161,168
107,81
113,111
40,68
55,147
166,182
34,84
1,50
94,165
57,111
55,161
146,140
60,186
71,66
142,114
10,52
69,173
88,120
166,131
133,168
21,139
63,169
35,3
3,191
45,31
91,134
29,22
42,134
17,187
20,90
177,131
76,71
88,63
158,8
179,140
112,3
161,191
106,164
135,151
25,157
24,9
66,117
36,25
180,127
8,122
145,98
165,165
145,97
80,147
96,178
180,86
25,74
142,165
56,190
172,128
67,187
164,46
35,82
39,177
37,165
86,136
132,177
29,53
136,16
44,29
44,127
12,108
111,34
137,184
88,151
131,44
154,40
105,152
135,71
155,156
172,155
177,158
79,188
47,37
148,183
91,98
45,183
147,172
66,184
150,188
165,35
105,169
178,187
33,141
68,184
82,52
62,187
101,121
99,150
42,25
56,108
153,175
167,114
14,42
61,25
91,191
74,23
151,129
74,128
149,95
169,73
167,85
70,72
180,123
156,161
8,115
159,10
90,118
24,39
37,2
58,186
83,48
84,43
11,117
91,3
71,81
106,68
172,117
118,144
132,169
159,16
180,182
35,54
65,20
176,53
122,157
5,22
17,151
43,131
33,187
82,176
67,179
69,66
39,70
13,47
33,153
120,5
178,78
138,175
78,161
106,137
98,129
124,74
81,43
2,3
87,94
91,126
40,111
162,117
177,152
128,6
118,129
67,140
171,145
58,38
37,177
22,16
3,11
78,151
16,89
74,27
27,87
9,164
99,34
166,193
176,69
158,49
94,60
37,10
20,112
100,60
98,180
67,99
17,193
88,160
8,159
167,90
53,113
148,173
92,80
151,127
56,152
161,135
120,135
