"row","col"
39,111
99,126
25,72
61,110
35,58
29,24
103,61
83,114
55,110
105,100
58,128
83,35
51,49
46,71
61,90
109,47
22,5
92,91
12,8
126,33
27,2
111,121
43,57
25,108
33,122
129,12
65,107
95,78
67,98
18,90
80,1
67,30
71,72
71,86
116,16
109,136
98,129
103,58
75,118
91,106
125,123
16,98
67,93
78,7
2,36
83,40
18,91
39,43
71,72
63,92
30,14
16,105
49,20
99,100
119,31
23,52
75,133
15,23
19,29
82,85
112,74
114,2
58,111
49,42
77,109
114,94
67,68
75,34
113,109
2,130
32,136
53,69
122,38
24,51
8,114
21,15
34,50
116,95
54,25
84,44
126,118
107,45
55,77
112,31
32,46
122,34
59,49
90,43
19,22
86,107
63,107
75,80
54,58
30,11
24,88
107,84
125,20
28,103
44,131
17,108
42,29
5,120
54,32
46,12
31,58
7,53
28,56
34,27
3,10
3,99
11,117
1,8
47,82
32,79
17,55
58,81
36,37
104,116
113,7
23,129
30,67
72,31
100,1
79,124
55,36
85,129
126,89
36,79
65,117
124,18
54,103
129,125
48,44
31,30
78,55
30,64
45,48
112,37
49,48
10,93
47,27
116,53
51,14
34,59
63,37
36,76
8,69
115,62
33,21
85,102
101,112
28,35
72,14
115,27
31,19
36,20
101,133
70,85
81,1
57,129
14,23
124,38
26,23
35,91
28,28
38,84
63,36
127,105
27,48
100,84
20,9
96,94
106,69
37,56
115,93
128,114
13,8
13,54
124,29
4,67
33,30
46,76
68,26
14,97
128,81
120,64
1,96
117,117
73,16
28,111
99,13
54,119
31,8
123,103
70,74
80,131
60,68
73,25
92,28
41,131
20,21
7,118
23,100
102,106
94,82
81,50
96,55
80,84
88,10
45,98
126,19
64,91
127,30
23,76
91,94
68,45
116,11
94,47
30,91
30,21
34,12
66,121
68,14
42,57
20,31
61,133
43,110
111,85
19,133
64,119
105,88
38,118
35,125
89,82
122,110
1,69
83,113
54,83
117,124
68,94
97,48
70,71
68,41
40,5
21,104
101,17
86,80
105,96
104,99
1,60
128,38
115,8
14,42
37,85
16,19
12,24
79,115
86,27
104,22
29,126
118,135
115,97
107,82
5,3
46,75
69,20
100,39
93,105
108,130
107,7
98,66
81,31
12,99
14,1
83,4
122,43
19,73
28,80
2,38
31,73
68,114
7,28
46,16
86,60
59,13
112,122
36,89
23,28
111,7
119,75
34,126
80,85
61,51
124,97
11,20
71,81
27,84
90,37
91,65
51,110
44,66
56,78
110,60
28,3
74,119
31,99
10,118
123,129
82,3
57,49
63,93
23,9
105,26
56,85
41,90
49,69
126,38
93,95
124,30
116,111
38,76
83,133
36,136
60,29
59,11
116,91
36,107
11,49
84,109
115,48
111,39
100,13
66,39
67,5
43,47
98,52
49,135
87,113
5,50
67,99
72,101
125,81
9,132
91,6
75,104
16,126
32,37
45,104
43,73
110,98
50,131
105,58
13,78
125,56
61,95
28,34
51,53
52,39
11,109
85,41
23,136
100,79
55,73
100,100
58,35
96,14
101,107
19,66
123,38
17,5
94,16
114,125
92,32
111,84
13,90
120,56
65,4
14,133
57,51
4,36
75,118
115,75
23,84
9,132
46,63
98,110
127,23
65,123
113,60
56,105
6,98
115,59
115,130
16,28
18,45
75,100
13,62
17,102
7,16
25,91
14,91
15,128
83,122
38,26
8,17
7,76
120,13
30,34
66,41
10,15
99,70
79,31
25,80
27,26
119,2
104,29
58,77
112,12
106,117
81,60
80,65
60,87
43,113
59,100
83,13
40,24
112,90
111,70
73,6
14,111
14,61
127,75
61,134
81,23
102,70
31,26
107,26
75,68
30,44
86,22
37,23
101,33
121,79
90,108
74,99
35,125
120,72
101,134
29,83
112,38
2,25
35,28
51,87
87,112
26,118
128,51
8,41
100,67
35,113
86,36
75,59
74,133
96,45
111,32
80,100
81,133
92,117
85,21
67,36
80,114
60,49
51,18
29,81
58,12
117,15
94,74
63,43
82,39
54,123
6,126
27,86
85,42
24,81
105,96
12,76
89,71
122,82
3,83
30,108
105,93
79,55
37,104
45,26
90,50
7,4
69,14
74,8
85,51
40,34
39,9
67,3
89,39
52,1
47,108
82,32
20,64
23,6
95,65
129,20
72,108
105,41
84,90
48,28
88,92
20,85
22,8
40,91
111,37
107,83
55,25
42,19
89,122
87,45
105,86
83,128
58,8
40,8
101,112
26,56
30,112
38,73
17,66
103,99
79,116
59,50
87,3
124,125
51,92
113,93
59,126
70,43
110,108
90,135
126,78
103,69
73,118
34,94
18,103
