"row","col"
54,139
77,82
4,86
119,116
82,118
19,61
70,44
14,15
46,103
4,75
5,149
6,92
33,80
5,131
93,70
4,41
61,68
64,57
87,144
87,13
64,126
74,129
91,38
31,108
2,100
125,68
32,31
17,117
124,61
15,70
15,140
46,94
89,23
6,72
17,134
49,113
10,57
84,119
77,44
43,74
25,59
79,52
17,6
78,65
19,142
53,150
64,51
44,114
22,141
51,121
126,60
71,19
54,80
101,82
40,62
34,110
106,63
45,109
1,150
52,70
93,153
24,26
40,124
56,94
69,150
1,103
68,142
118,149
2,28
107,26
42,32
71,140
120,98
65,41
124,122
56,119
70,30
39,77
65,144
87,64
26,64
82,126
8,44
60,69
109,109
5,28
11,142
58,96
7,44
87,21
87,72
58,14
12,54
79,127
4,63
62,65
9,90
32,105
38,80
54,47
24,13
63,137
55,33
96,56
66,54
6,11
87,123
55,125
39,128
77,138
87,87
73,93
47,4
106,36
4,77
37,89
48,137
44,153
104,96
59,91
72,116
39,117
81,120
21,91
37,130
61,43
120,60
42,66
28,103
18,153
7,40
9,93
87,87
43,50
9,43
40,133
92,139
57,150
96,3
65,130
58,127
3,7
115,107
3,118
49,13
49,94
112,37
27,33
120,72
12,146
116,81
39,48
107,88
17,5
112,52
25,130
67,41
106,62
112,119
32,16
63,108
123,143
75,32
105,94
40,147
74,106
106,84
9,9
79,11
99,118
42,42
87,6
42,61
39,109
58,72
80,101
119,30
29,47
126,96
88,33
73,118
125,124
80,150
105,48
92,105
10,22
52,17
66,16
75,133
55,102
71,50
76,62
32,46
35,43
16,86
16,143
27,80
108,24
43,78
61,93
86,10
82,96
16,136
90,150
97,77
10,60
53,89
96,94
57,148
108,148
80,14
26,137
16,96
44,8
39,41
63,114
48,70
59,15
6,118
85,111
110,30
102,85
18,107
24,4
110,121
99,109
17,74
28,146
4,127
94,89
51,72
4,32
74,89
15,13
78,39
85,53
21,17
50,48
100,71
54,27
110,72
50,64
5,107
73,88
101,80
94,62
73,31
15,106
54,98
1,37
98,28
122,20
84,139
7,119
82,118
12,150
53,81
84,117
66,54
95,143
16,149
16,134
87,62
40,113
72,112
117,101
123,75
20,145
28,148
12,16
111,70
122,117
86,57
87,59
91,8
12,44
4,115
40,32
122,85
123,15
10,50
87,124
55,44
96,35
34,119
74,133
87,34
41,94
26,1
