"row","col"
122,142
70,107
8,64
157,152
162,91
120,73
112,12
125,74
104,34
152,23
155,13
109,124
1,109
152,3
63,142
143,52
52,104
127,21
73,19
143,17
158,88
135,108
82,30
42,4
97,74
161,147
36,145
156,105
126,63
125,105
128,124
100,94
28,120
38,40
35,43
117,125
40,76
164,93
127,128
53,126
40,16
117,102
83,43
8,60
113,55
41,3
140,100
138,13
8,143
29,68
50,9
85,71
8,40
69,6
96,12
110,28
36,136
64,39
129,143
160,31
44,32
28,47
135,84
62,136
36,43
55,124
44,98
97,124
159,142
44,41
135,91
67,25
167,22
69,61
61,77
131,134
116,58
137,147
28,26
16,107
145,140
90,42
137,144
44,59
28,25
116,1
69,38
115,11
87,62
122,89
5,48
96,52
10,104
89,117
50,64
127,61
125,57
20,98
39,150
54,34
24,124
10,101
165,75
132,23
60,85
53,92
163,11
112,62
153,24
54,68
145,94
142,68
122,31
162,6
96,150
52,89
5,51
95,36
41,73
139,41
4,68
22,50
93,145
128,77
158,124
7,116
126,138
22,72
38,33
55,140
52,77
94,71
147,91
106,96
82,100
110,52
42,87
69,89
156,85
104,146
13,61
89,43
105,69
5,119
119,147
5,156
131,41
100,139
64,43
156,75
18,5
19,68
122,134
111,10
69,123
32,52
146,34
50,90
79,86
27,68
80,113
143,90
77,72
77,52
142,41
54,66
21,112
113,98
112,128
57,82
3,91
73,141
118,69
145,151
121,108
158,85
108,156
56,17
156,90
105,20
108,46
58,130
98,22
35,100
125,148
11,88
4,89
22,102
78,63
21,34
46,72
79,145
153,132
6,46
67,99
31,34
48,13
137,27
100,83
128,44
143,138
38,142
78,77
42,93
79,65
35,28
85,17
43,103
1,107
135,20
106,48
161,48
143,153
14,101
166,55
14,11
85,112
2,76
151,149
155,103
7,84
4,27
8,16
22,56
158,107
67,107
134,105
107,155
37,87
73,21
130,38
146,148
89,65
82,142
158,84
57,106
109,129
2,4
73,76
104,78
18,32
160,13
2,114
112,18
121,43
114,55
76,92
41,25
118,130
13,40
71,2
94,105
33,22
22,75
52,142
129,17
73,38
42,26
30,110
159,47
121,111
163,116
73,25
45,128
163,123
58,140
23,117
52,90
66,65
125,63
110,84
92,4
60,61
36,60
151,127
105,56
143,70
16,98
15,31
116,5
107,79
104,46
82,48
158,112
112,135
112,60
78,8
89,13
58,36
51,8
94,55
112,119
13,128
154,118
112,88
54,132
121,80
109,130
74,12
129,62
38,65
149,146
38,54
59,83
98,83
33,20
58,45
167,23
7,155
76,139
19,98
44,154
33,96
145,97
81,112
1,119
114,119
150,32
104,74
71,43
92,85
143,102
22,47
87,88
122,20
91,108
162,115
108,150
105,45
135,7
118,141
156,53
38,111
14,19
80,22
135,68
153,39
132,119
121,105
101,82
75,131
47,147
136,76
8,121
140,25
46,8
14,30
92,36
24,73
85,8
167,73
74,25
38,7
117,136
137,110
104,53
5,28
135,39
113,91
59,120
3,3
142,46
29,20
85,18
102,155
88,69
118,93
20,58
96,75
49,59
156,16
56,145
86,76
110,13
60,136
99,139
70,128
67,50
89,52
134,24
13,45
127,68
78,61
79,65
154,63
88,4
61,67
80,113
13,46
86,10
73,73
117,24
78,155
72,48
9,93
158,68
140,56
37,138
123,107
53,122
102,120
131,154
104,44
59,33
99,80
63,97
36,85
160,25
131,144
143,57
167,34
157,140
98,120
117,68
70,13
23,61
22,90
148,97
167,35
116,14
127,141
128,2
87,65
159,13
157,58
137,32
22,29
16,25
78,116
61,118
60,108
149,92
103,29
7,63
110,100
81,127
14,21
134,32
37,125
38,70
14,77
71,3
22,108
150,1
144,87
43,128
15,62
161,35
125,92
44,50
128,139
154,106
149,155
14,107
52,45
157,145
70,72
40,104
70,154
43,153
93,145
126,128
140,23
118,96
103,75
13,114
131,92
34,45
101,47
36,36
119,96
166,111
65,78
105,71
3,55
87,36
36,87
161,67
25,56
44,31
153,131
116,114
115,47
141,10
55,121
104,109
60,130
160,151
89,148
78,151
124,16
145,97
80,60
10,144
81,75
121,100
166,99
34,56
76,64
96,11
10,65
77,119
44,149
69,151
87,105
124,29
60,86
16,90
66,156
163,33
105,74
165,38
53,30
87,14
10,80
90,16
61,56
105,74
70,115
123,105
