"web";"internonquant";"interquant";"insectorder";"insectfamily";"insectgenus";"insectspecies";"plantorder";"plantfamily";"plantgenus";"plantspecies";"id_network";"id_network_aggreg"
"Baldock2019_Bristol";1;"3";"Diptera";"Anthomyiidae";"Adia";"cinerella";"Asterales";"Asteraceae";"Bellis";"perennis";445;235
"Baldock2019_Bristol";1;"19";"Diptera";"Scatopsidae";"Anapausis";"soluta";"Asterales";"Asteraceae";"Cirsium";"arvense";445;235
"Baldock2019_Bristol";1;"1";"Diptera";"Scatopsidae";"Anapausis";"soluta";"Caryophyllales";"Polygonaceae";"Rheum";"x_rhabarbarum";445;235
"Baldock2019_Bristol";1;"1";"Coleoptera";"Scraptiidae";"Anaspis";"maculata";"Lamiales";"Oleaceae";"Ligustrum";"vulgare";445;235
"Baldock2019_Bristol";1;"9";"Coleoptera";"Scraptiidae";"Anaspis";"pulicaria";"Rosales";"Rosaceae";"Rubus";"fruticosus_agg";445;235
"Baldock2019_Bristol";1;"1";"Hymenoptera";"Vespidae";"Ancistrocerus";"gazella";"Ericales";"Ericaceae";"Erica";"cinerea";445;235
"Baldock2019_Bristol";1;"1";"Hymenoptera";"Andrenidae";"Andrena";"bicolor";"Sapindales";"Rutaceae";"Choisya";"ternata";445;235
"Baldock2019_Bristol";1;"1";"Hymenoptera";"Andrenidae";"Andrena";"bicolor";"Rosales";"Rosaceae";"Fragaria";"ananassa";445;235
"Baldock2019_Bristol";1;"1";"Hymenoptera";"Andrenidae";"Andrena";"bicolor";"Asterales";"Asteraceae";"Taraxacum";"sp._agg";445;235
"Baldock2019_Bristol";1;"1";"Hymenoptera";"Andrenidae";"Andrena";"cineraria";"Brassicales";"Brassicaceae";"Erysimum";"cheiri";445;235
"Baldock2019_Bristol";1;"1";"Hymenoptera";"Andrenidae";"Andrena";"flavipes";"Rosales";"Rosaceae";"Cotoneaster";"salicifolius_agg";445;235
"Baldock2019_Bristol";1;"1";"Hymenoptera";"Andrenidae";"Andrena";"haemorrhoa";"Asterales";"Asteraceae";"Bellis";"perennis";445;235
"Baldock2019_Bristol";1;"1";"Hymenoptera";"Andrenidae";"Andrena";"haemorrhoa";"Asterales";"Asteraceae";"Taraxacum";"sp._agg";445;235
"Baldock2019_Bristol";1;"1";"Hymenoptera";"Andrenidae";"Andrena";"minutula";"Brassicales";"Brassicaceae";"Brassicaceae";"sp.";445;235
"Baldock2019_Bristol";1;"1";"Hymenoptera";"Andrenidae";"Andrena";"minutula";"Asterales";"Asteraceae";"Matricaria";"recutita";445;235
"Baldock2019_Bristol";1;"1";"Hymenoptera";"Andrenidae";"Andrena";"minutula";"Boraginales";"Boraginaceae";"Pentaglottis";"sempervirens";445;235
"Baldock2019_Bristol";1;"1";"Hymenoptera";"Andrenidae";"Andrena";"minutula";"Asterales";"Asteraceae";"Taraxacum";"sp._agg";445;235
"Baldock2019_Bristol";1;"1";"Hymenoptera";"Andrenidae";"Andrena";"nitida";"Asterales";"Asteraceae";"Crepis";"vesicaria";445;235
