Epsilon,Missing Network,Test Loss,Train Loss,AUC,AP,F1
0.1,0,0.651635468006134,0.6986771462261677,0.6820408163265306,0.6326221829583518,0.6802721088435374
0.1,1,0.6490327715873718,0.6977811380028724,0.7180899908172635,0.6613378873334823,0.6060606060606061
0.1,2,0.6945001482963562,0.7194645631611347,0.6087990487514864,0.5760464786619579,0.6412213740458015
0.1,3,0.6290130615234375,0.7014763124585152,0.743856726364015,0.7852378944941807,0.7115384615384616
0.1,0,0.6883103847503662,0.7011115686297417,0.6154081632653061,0.5871883607299537,0.5874125874125874
0.1,1,0.6456233859062195,0.6993139748871326,0.7318640955004592,0.658361595031552,0.6
0.1,2,0.6573675274848938,0.7149598998725414,0.6860879904875149,0.6549046547709083,0.7175572519083969
0.1,3,0.6605923175811768,0.7067741154432297,0.661807580174927,0.6454946400161075,0.6336633663366337
0.1,0,0.7381643056869507,0.7030607589185238,0.5295918367346939,0.5712309513920233,0.5733333333333334
0.1,1,0.6534489393234253,0.695748715877533,0.7079889807162535,0.7222491356123857,0.6349206349206349
0.1,2,0.6305060386657715,0.7069446214437485,0.7452437574316291,0.7163572908696652,0.6911764705882353
0.1,3,0.6552873849868774,0.7028317632079124,0.6601416076634735,0.6493086276238297,0.6727272727272727
0.2,0,0.6789727807044983,0.7046543333828449,0.6384826059087465,0.6127458106317638,0.5690376569037657
0.2,1,0.6659336090087891,0.7012481932640076,0.6814201183431953,0.710349956967621,0.6141732283464567
0.2,2,0.6956065893173218,0.7031949117779732,0.6122164552095347,0.5694738920063631,0.6188340807174888
0.2,3,0.684457004070282,0.7063068500161171,0.6280924479166667,0.5884315924669754,0.624390243902439
0.2,0,0.7008280754089355,0.7009044708013534,0.5937882407785094,0.5837760724193434,0.5627376425855514
0.2,1,0.6592959761619568,0.7036669971346855,0.6898224852071005,0.6895698884049344,0.625
0.2,2,0.6772500276565552,0.7128956653475761,0.6547481737793156,0.6386259830903742,0.6610169491525424
0.2,3,0.6481131315231323,0.7009412313699722,0.6966145833333334,0.6906439357086326,0.6326530612244898
