Idweb,Short_ref,full_plants,full_insects,full_inter,dipt_plants,dipt_insects,dipt_inter,hymeno_plants,hymeno_insects,hymeno_inter,Mean_T_IPCC,T_Seasonality_IPCC,Tot_Rainfall_IPCC,Rainfall_Seasonality_IPCC,HF,Annual_time_span,Sampling_time,Sampling_effort,Sampling_type,taxo_full_sp_perc,Location,Country_location,Latitude_dec,Longitude_dec,Year,Complete_ref,Source
1,"Arroyo et al., 1982",131,113,544,83,38,204,79,56,235,"-1,2","3,955",458,85,18,183,"699,9","0,047",TO,"76,23","Cordon del Crepo, Andean zone, Chile",Chile,"-33,28","-70,27",1983,"Arroyo, M. T. K., Primack, R., & Armesto, J. (1982). Community Studies in Pollination Ecology in the High Temperate Andes of Central Chile. I. Pollination Mechanisms and Altitudinal Variation. American Journal of Botany, 69(1), 82",Interaction Web DataBase (https://iwdb.nceas.ucsb.edu/)
4,"Dupont et al., 2003",11,36,104,11,16,44,11,18,55,"10,6","4,437",486,89,30,30,145,"0,366",T,"91,49","Cementerio de los Tajinastes, Tenerife, Canary Island",Canary Islands (Spain),"28,22","-16,63",2001,"Dupont, Y. L., Hansen, D. M., & Olesen, J. M. (2003). Structure of a plant-flower-visitor network in the high-altitude sub-alpine desert of Tenerife, Canary Islands. Ecography, 26(3), 301–310. ",Interaction Web DataBase (https://iwdb.nceas.ucsb.edu/)
5,"Elberling & Olesen, 1999",23,118,238,22,89,181,13,17,25,"-3,3","7,303",638,29,2,90,470,"0,173",T,"63,12","Latnjajaure, Subarctic Sweden",Sweden,"68,35","18,5",2004,"Elberling, H., & Olesen, J. M. (1999). The structure of a high latitude plant-flower visitor system: The dominance of flies. Ecography, 22(3), 314–323.",Interaction Web DataBase (https://iwdb.nceas.ucsb.edu/)
6,"Herrera, 1988",26,179,412,20,28,96,25,83,204,"17,8","5,244",516,63,22,365,104,"0,022",TO,"81,95","Donana National Park, Andalusia, Spain",Spain,"37,17","-6,55",1984,"Herrera, J. (1988). Pollination Relationships in Southern Spanish Mediterranean Shrublands. Journal of Ecology, 76(1), 274–287.",original publication
8,"Inouye & Pyke, 1988",41,88,279,38,50,158,23,28,91,"5,7","4,742",1847,32,12,100,63,"0,017",TO,"45,74","Snowy mountains, Kosciusko National Park, New South Wales, Australia",Australia,"-36,42","148,33",1984,"Inouye, D. W., & Pyke, G. H. (1988). Pollination biology in the Snowy Mountains of Australia: Comparisons with montane Colorado, USA. Australian Journal of Ecology, 13(2), 191–205. ",Interaction Web DataBase (https://iwdb.nceas.ucsb.edu/)
9,"Kato et al., 1990",93,679,1207,57,276,427,80,192,443,"12,9","8,272",1827,26,28,186,186,"0,003",T,"44,56","Ashu Forest, Kyoto, Japan",Japan,"35,34","134,76",1987,"Kato, M., Kakutani, T., Inoue, T., & Itino, T. (1990). Insect-flower relationship in the primary beech forest of Ashu, Kyoto: an overview of the flowering phenology and the seasonal pattern of insect visits. Contributions from the Biological Laboratory, Kyoto University, 27(4), 309–376. ",Interaction Web DataBase (https://iwdb.nceas.ucsb.edu/)
12,"Medan et al., 2002",21,45,83,10,18,34,16,11,27,"2,2","4,367",521,68,4,6,105,"0,111",T,"54,55","Andes of Mendoza, Argentina",Argentina,"-34,17","-69,7",1995,"Medan, D., Montaldo, N. H., Devoto, M., Mantese, A., Vasellati, V., Roitman, G. G., & Bartoloni, N. H. (2002). Plant-pollinator relationships at two altitudes in the Andes of Mendoza, Argentina. Arctic, Antarctic, and Alpine Research, 34(3), 233–241. ",Interaction Web DataBase (https://iwdb.nceas.ucsb.edu/)
13,"Medan et al., 2002",21,71,123,10,30,55,18,26,47,"10,3","4,591",240,18,16,6,115,"0,077",T,"42,39","Andes of Mendoza, Argentina",Argentina,-33,"-69,28",1996,"Medan, D., Montaldo, N. H., Devoto, M., Mantese, A., Vasellati, V., Roitman, G. G., & Bartoloni, N. H. (2002). Plant-pollinator relationships at two altitudes in the Andes of Mendoza, Argentina. Arctic, Antarctic, and Alpine Research, 34(3), 233–241. ",Interaction Web DataBase (https://iwdb.nceas.ucsb.edu/)
17,"Olesen et al., 2002",14,12,42,8,5,13,13,3,18,"23,2","2,123",1820,47,48,60,170,"1,012",TO,"84,62","Ile aux Aigrettes, Mauritian",Mauritius,"-20,42","57,73",1999,"Olesen, J. M., Eskildsen, L. I., & Venkatasamy, S. (2002). Invasion of Pollination Networks on Oceanic Islands : Importance of Invader Complexes and Endemic Super Generalists. Diversity and Distributions, 8(3), 181–192.",Interaction Web DataBase (https://iwdb.nceas.ucsb.edu/)
18,"Olesen et al., 2002",10,12,30,6,6,13,8,4,13,"17,6","2,98",1407,38,40,30,113,"0,942",TO,"95,45","Flores Island, Azores",Azores (Portugal),"39,47","-31,14",2000,"Olesen, J. M., Eskildsen, L. I., & Venkatasamy, S. (2002). Invasion of Pollination Networks on Oceanic Islands : Importance of Invader Complexes and Endemic Super Generalists. Diversity and Distributions, 8(3), 181–192.",Interaction Web DataBase (https://iwdb.nceas.ucsb.edu/)
19,"Ramirez & Brito, 1992",26,51,105,14,9,22,24,29,63,"27,4","0,95",1201,84,62,365,504,"0,38",TO,"75,32","Calabozo, Guarica state, Venezuela",Venezuela,"8,93","-67,42",1989,"Ramirez, N., & Brito, Y. (1992). Pollination Biology in a palm swamp community in the Venezuelan Central Plains. Botanical Journal of Linnean Society, 110, 277–302.",Interaction Web DataBase (https://iwdb.nceas.ucsb.edu/)
